,Movie name,Rating,Genres,Release_date,Runtime,Director,Url
129,The Help (2011),82.0,Drama,11/25/2011,              2h 26m          ,Tate Taylor,https://www.themoviedb.org/movie/50014-the-help
130,No Time to Die (2021),75.0,"Adventure,Action,Thriller",09/30/2021,              2h 43m          ,Cary Joji Fukunaga,https://www.themoviedb.org/movie/370172-no-time-to-die
131,"Miraculous World: New York, United HeroeZ (2020)",83.0,"Animation,Family,Comedy,Adventure,TV Movie",11/21/2020,              55m          ,Thomas Astruc,https://www.themoviedb.org/movie/755812-miraculous-world-new-york-les-heros-unis
132,Dragon Ball Super: Super Hero (2022),0.0,"Animation,Science Fiction,Action",06/11/2022,0,Tetsuro Kodama,https://www.themoviedb.org/movie/610150
133,Meander (2021),61.0,"Horror,Science Fiction,Drama,Thriller",05/26/2021,              1h 31m          ,Mathieu Turi,https://www.themoviedb.org/movie/523936-meandre
134,The Conjuring: The Devil Made Me Do It (2021),76.0,"Horror,Mystery,Thriller",06/04/2021,              1h 51m          ,Michael Chaves,https://www.themoviedb.org/movie/423108-the-conjuring-the-devil-made-me-do-it
135,Raya and the Last Dragon (2021),80.0,"Animation,Family,Fantasy,Action,Adventure",03/05/2021,              1h 47m          ,"Don Hall , Carlos López Estrada",https://www.themoviedb.org/movie/527774-raya-and-the-last-dragon
136,The Unholy (2021),68.0,Horror,04/02/2021,              1h 39m          ,Evan Spiliotopoulos,https://www.themoviedb.org/movie/632357-the-unholy
137,Marry Me (2022),69.0,"Romance,Comedy,Music",02/11/2022,              1h 52m          ,Kat Coiro,https://www.themoviedb.org/movie/615904-marry-me
138,The Addams Family 2 (2021),71.0,"Animation,Adventure,Comedy,Family",10/01/2021,              1h 33m          ,"Greg Tiernan , Conrad Vernon",https://www.themoviedb.org/movie/639721-the-addams-family-2
139,Mother/Android (2021),58.0,"Science Fiction,Thriller",12/17/2021,              1h 51m          ,Mattson Tomlin,https://www.themoviedb.org/movie/739413-mother-android
140,Ripper Untold (2021),64.0,Horror,06/28/2021,              1h 25m          ,Steven Lawson,https://www.themoviedb.org/movie/820511-ripper-untold
141,Dark Spell (2021),67.0,"Romance,Horror,Thriller",02/11/2021,              1h 32m          ,Svyatoslav Podgaevsky,https://www.themoviedb.org/movie/633802
142,Old (2021),66.0,"Thriller,Mystery,Horror,Drama",07/23/2021,              1h 48m          ,M. Night Shyamalan,https://www.themoviedb.org/movie/631843-old
143,Avengers: Endgame (2019),83.0,"Adventure,Science Fiction,Action",04/26/2019,              3h 1m          ,"Anthony Russo , Joe Russo",https://www.themoviedb.org/movie/299534-avengers-endgame
144,Back to the Outback (2021),76.0,"Animation,Family,Adventure,Comedy",12/03/2021,              1h 32m          ,"Harry Cripps , Claire Knight",https://www.themoviedb.org/movie/770254-back-to-the-outback
145,Finch (2021),81.0,"Science Fiction,Drama,Adventure",11/04/2021,              1h 55m          ,Miguel Sapochnik,https://www.themoviedb.org/movie/522402-finch
146,Harry Potter and the Philosopher's Stone (2001),79.0,"Adventure,Fantasy",04/12/2002,              2h 32m          ,Chris Columbus,https://www.themoviedb.org/movie/671-harry-potter-and-the-philosopher-s-stone
147,My Hero Academia: Heroes Rising (2019),84.0,"Animation,Action,Fantasy,Adventure",12/20/2019,              1h 44m          ,Kenji Nagasaki,https://www.themoviedb.org/movie/592350-the-movie
148,Harry Potter and the Goblet of Fire (2005),78.0,"Adventure,Fantasy,Family",11/18/2005,              2h 37m          ,Mike Newell,https://www.themoviedb.org/movie/674-harry-potter-and-the-goblet-of-fire
