,Movie name,Overview,Release_date,Rating,Genres,Runtime,Director,Language,Certification,Budget,Revenue,Url
1835,9 Bullets (2022),"A former burlesque dancer turned author discovers a second chance at life and redemption when she risks everything to rescue her young neighbor after he witnesses his parents’ murder. Now on the run from the local crime boss, who happens to be her longtime ex, she makes a desperate attempt to get the boy to safety.",04/14/2022,58.0,"Action,Thriller", 1h 36m,Gigi Gaston,English,16+,-,-,https://www.themoviedb.org/movie/777831-9-bullets
1836,Pandemic (2016),"After a virus of epic proportions overwhelms the planet—with more infected than uninfected—humanity is losing its grip on survival and its only hope is finding a cure and keeping the infected contained. Lauren, a doctor, arrives in Los Angeles with her crack team to lead the hunt for uncontaminated civilian survivors, but nothing can prepare them for the blood-soaked mayhem they witness as they head into the Californian streets where everything is considered a trap.",04/01/2016,50.0,"Action,Science Fiction,Horror", 1h 31m,John Suits,English,PG-13,-,-,https://www.themoviedb.org/movie/346651-pandemic
1837,Mamma Mia! (2008),"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",07/18/2008,70.0,"Comedy,Romance", 1h 48m,Phyllida Lloyd,English,PG-13,"$52,000,000.00","$609,841,637.00",https://www.themoviedb.org/movie/11631-mamma-mia
1838,Lucas (2021),"Lucas just lost his father and everything around him is starting to crumble. One day he meets Alvaro, who offers him money in exchange for some innocent pictures. Álvaro will use them to create fake accounts in social media to “just talk”, he assures, with underage girls. Desperate for money, Lucas takes the deal.",06/25/2021,59.0,Drama, 1h 32m,Álex Montoya,Castilian,R,-,-,https://www.themoviedb.org/movie/800099-lucas
1839,Sin City: A Dame to Kill For (2014),Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,08/22/2014,64.0,"Crime,Action,Thriller", 1h 42m,"Frank Miller , Robert Rodriguez",English,R,"$65,000,000.00","$39,407,616.00",https://www.themoviedb.org/movie/189-sin-city-a-dame-to-kill-for
1840,Welcome to Smelliville (2021),"The Oggly family arrive at the municipal rubbish dump of Smelliville and must look for a new home, but they never feel really welcome anywhere. They stink and are for most humans just a tad too oggly. When Firebottom, the family dragon, crash-lands on the run-down rubbish tip of the small town of Smelliville, the Ogglies at once feel at home. And it's here they want to stay.",05/06/2021,74.0,"Animation,Adventure,Family,Fantasy", 1h 25m,"Toby Genkel , Jens Møller",English,PG,-,-,https://www.themoviedb.org/movie/805051-smelliville
1841,The Unfamiliar (2020),"A British Army doctor comes back from a war, thinking that she has PTSD only to discover that there is a more daunting malevolence at work making the life that she knew unfamiliar.",08/19/2021,60.0,"Thriller,Horror", 1h 29m,Henk Pretorius,English,R,-,-,https://www.themoviedb.org/movie/675490-the-unfamiliar
1842,Olaf's Frozen Adventure (2017),"Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff.",11/22/2017,64.0,"Animation,Family,Adventure,Comedy,Fantasy"," 22m
  ","Stevie Wermers , Kevin Deters",English,G,-,-,https://www.themoviedb.org/movie/460793-olaf-s-frozen-adventure
1843,The Hand of God (2021),"In 1980s Naples, Italy, an awkward Italian teen struggling to find his place experiences heartbreak and liberation after he's inadvertently saved from a freak accident by football legend Diego Maradona.",12/02/2021,76.0,Drama, 2h 10m,Paolo Sorrentino,Italian,R,-,-,https://www.themoviedb.org/movie/722778-e-stata-la-mano-di-dio
1844,Walking with Dinosaurs (2013),"Walking with Dinosaurs 3D is a film depicting life-like 3D dinosaur characters set in photo-real landscapes that transports audiences to the prehistoric world as it existed 70 million years ago. The film is based on the 1999 documentary television miniseries Walking with Dinosaurs, produced by the BBC. Walking with Dinosaurs 3D is being produced by Evergreen Studios, the company that produced Happy Feet, and it is was released on October 11, 2013.",12/20/2013,60.0,"Animation,Family,Adventure", 1h 27m,"Neil Nightingale , Barry Cook",English,PG,"$80,000,000.00","$126,546,518.00",https://www.themoviedb.org/movie/77951-walking-with-dinosaurs
